100 100 -1 (0, -1) (0, -1) 0 0
100 116 -1 (0, 0) (0, 0) 0 0
100 135 1 (1, 0) (0, 0) 0 0
100 158 1 (1, 0) (0, 0) 0 0
100 184 1 (1, 0) (0, 0) 0 0
100 215 1 (1, 0) (0, 0) 0 0
100 251 1 (1, 0) (0, 0) 0 0
100 292 1 (1, 0) (0, 0) 0 0
100 341 1 (1, 0) (0, 0) 0 0
100 398 1 (1, 0) (0, 0) 0 0
100 464 1 (1, 0) (0, 0) 0 0
100 541 1 (1, 0) (0, 0) 0 0
100 630 1 (1, 0) (0, 0) 0 0
100 735 1 (1, 0) (0, 0) 0 0
100 857 -1 (0, 0) (0, 0) 0 0
100 1000 -1 (0, 0) (0, 0) 0 0
100 1165 -1 (0, 0) (0, 0) 0 0
100 1359 -1 (0, 0) (0, 0) 0 0
100 1584 -1 (0, 0) (0, 0) 0 0
100 1847 -1 (0, 0) (0, 0) 0 0
100 2154 -1 (0, 0) (0, 0) 0 0
100 2511 -1 (0, 0) (0, 0) 0 0
100 2928 -1 (0, 0) (0, 0) 0 0
100 3414 -1 (0, 0) (0, 0) 0 0
100 3981 -1 (0, 0) (0, 0) 0 0
100 4641 -1 (0, 0) (0, 0) 0 0
100 5411 -1 (0, 0) (0, 0) 0 0
100 6309 -1 (0, 0) (0, 0) 0 0
100 7356 -1 (0, 0) (0, 0) 0 0
100 8576 -1 (0, 0) (0, 0) 0 0
100 10000 -1 (0, 0) (0, 0) 0 0
116 100 -1 (0, -1) (0, -1) 0 0
116 116 -1 (0, -1) (0, -1) 0 0
116 135 -1 (0, 0) (0, 0) 0 0
116 158 1 (1, 0) (0, 0) 0 0
116 184 1 (1, 0) (0, 0) 0 0
116 215 1 (1, 0) (0, 0) 0 0
116 251 1 (1, 0) (0, 0) 0 0
116 292 1 (1, 0) (0, 0) 0 0
116 341 1 (1, 0) (0, 0) 0 0
116 398 1 (1, 0) (0, 0) 0 0
116 464 1 (1, 0) (0, 0) 0 0
116 541 1 (1, 0) (0, 0) 0 0
116 630 1 (1, 0) (0, 0) 0 0
116 735 1 (1, 0) (0, 0) 0 0
116 857 -1 (0, 0) (0, 0) 0 0
116 1000 -1 (0, 0) (0, 0) 0 0
116 1165 -1 (0, 0) (0, 0) 0 0
116 1359 -1 (0, 0) (0, 0) 0 0
116 1584 -1 (0, 0) (0, 0) 0 0
116 1847 -1 (0, 0) (0, 0) 0 0
116 2154 -1 (0, 0) (0, 0) 0 0
116 2511 -1 (0, 0) (0, 0) 0 0
116 2928 -1 (0, 0) (0, 0) 0 0
116 3414 -1 (0, 0) (0, 0) 0 0
116 3981 -1 (0, 0) (0, 0) 0 0
116 4641 -1 (0, 0) (0, 0) 0 0
116 5411 -1 (0, 0) (0, 0) 0 0
116 6309 -1 (0, 0) (0, 0) 0 0
116 7356 -1 (0, 0) (0, 0) 0 0
116 8576 -1 (0, 0) (0, 0) 0 0
116 10000 -1 (0, 0) (0, 0) 0 0
135 100 -1 (0, -1) (0, -1) 0 0
135 116 -1 (0, -1) (0, -1) 0 0
135 135 -1 (0, -1) (0, -1) 0 0
135 158 -1 (0, 0) (0, 0) 0 0
135 184 1 (1, 0) (0, 0) 0 0
135 215 1 (1, 0) (0, 0) 0 0
135 251 1 (1, 0) (0, 0) 0 0
135 292 1 (1, 0) (0, 0) 0 0
135 341 1 (1, 0) (0, 0) 0 0
135 398 1 (1, 0) (0, 0) 0 0
135 464 1 (1, 0) (0, 0) 0 0
135 541 1 (1, 0) (0, 0) 0 0
135 630 1 (1, 0) (0, 0) 0 0
135 735 1 (1, 0) (0, 0) 0 0
135 857 1 (1, 0) (0, 0) 0 0
135 1000 -1 (0, 0) (0, 0) 0 0
135 1165 -1 (0, 0) (0, 0) 0 0
135 1359 -1 (0, 0) (0, 0) 0 0
